"Participant"	"Item_1"	"Item_2"	"Item_3"	"Item_4"	"Item_5"	"Item_6"
"119"	"p114"	1	2	1	1	1	1
"120"	"p115"	2	2	1	1	1	1
"121"	"p116"	1	2	1	1	1	1
"122"	"p117"	2	2	1	1	1	2
"123"	"p118"	2	2	1	1	0	2
"124"	"p119"	1	2	1	1	1	1
"125"	"p120"	2	2	1	1	1	2
"126"	"p121"	2	2	1	1	1	1
"127"	"p122"	2	2	1	1	1	1
"128"	"p123"	2	2	1	1	1	1
"129"	"p124"	2	2	1	1	1	1
"130"	"p125"	2	2	1	1	1	2
"131"	"p126"	2	2	1	1	1	1
"132"	"p127"	2	2	1	1	0	0
"133"	"p128"	2	2	1	1	1	1
"134"	"p129"	2	2	1	1	1	2
"135"	"p130"	2	2	1	1	1	2
"136"	"p131"	2	2	1	1	1	2
"137"	"p132"	2	2	1	1	1	1
"138"	"p133"	1	2	1	1	1	2
"139"	"p134"	2	2	1	1	1	2
"140"	"p135"	2	2	1	1	1	2
"141"	"p136"	2	2	1	1	1	2
"142"	"p137"	2	2	1	1	1	2
"143"	"p138"	2	2	1	1	1	2
"144"	"p139"	2	2	1	1	1	1
"145"	"p140"	2	2	1	1	1	2
"146"	"p141"	2	2	1	1	1	1
"147"	"p142"	1	2	1	1	0	0
"148"	"p143"	2	2	0	0	0	0
"149"	"p144"	1	2	0	1	0	0
"150"	"p145"	1	1	1	1	0	1
"151"	"p146"	1	2	1	1	0	0
"152"	"p147"	2	2	1	1	1	2
"153"	"p148"	2	2	1	1	1	1
"154"	"p149"	1	2	1	1	0	1
"155"	"p150"	1	2	1	1	0	1
"156"	"p151"	1	2	0	0	0	0
"157"	"p152"	1	2	1	1	1	1
"158"	"p153"	1	2	1	1	1	1
"159"	"p154"	2	2	1	1	1	1
"160"	"p155"	2	2	1	1	1	2
"161"	"p156"	2	2	1	1	1	2
"162"	"p157"	2	2	1	1	1	2
"163"	"p158"	2	2	1	1	1	1
"164"	"p159"	2	2	1	1	1	1
"165"	"p160"	2	2	1	1	1	1
"166"	"p161"	1	0	1	1	1	1
